Rank,Player Name,Age,Official Points,+/-,Tournaments Played,Dropping,Next Best,Country
1,Novak Djokovic,36,"9,725",+50,18,-,-,srb
2,Carlos Alcaraz,20,"8,805",-,18,360,-,esp
3,Jannik Sinner,22,"8,310",+40,20,600,-,ita
4,Daniil Medvedev,28,"7,765",+50,19,"1,000",-,rus
5,Alexander Zverev,26,"5,060",+110,26,-,-,ger
6,Andrey Rublev,26,"4,970",-40,24,90,45,rus
7,Holger Rune,20,"3,875",+155,23,90,10,den
8,Casper Ruud,25,"3,560",+155,24,45,45,nor
9,Hubert Hurkacz,27,"3,370",-35,24,45,10,pol
10,Alex de Minaur,25,"3,300",+90,25,-,-,aus
11,Stefanos Tsitsipas,25,"3,255",+85,25,90,15,gre
12,Grigor Dimitrov,32,"2,935",+55,24,45,45,bul
13,Taylor Fritz,26,"2,935",-80,25,180,45,usa
14,Tommy Paul,26,"2,430",+310,27,90,45,usa
15,Ugo Humbert,25,"2,420",+5,29,-,-,fra
16,Karen Khachanov,27,"2,265",-35,23,360,10,rus
17,Ben Shelton,21,"2,220",+75,27,10,10,usa
18,Alexander Bublik,26,"2,002",+18,29,-,-,kaz
19,Sebastian Baez,23,"1,990",+5,30,-,-,arg
20,Adrian Mannarino,35,"1,955",+5,29,90,11,fra
21,Francisco Cerundolo,25,"1,845",+5,26,180,-,arg
22,Frances Tiafoe,26,"1,805",-310,23,45,10,usa
23,Nicolas Jarry,28,"1,575",-,25,-,-,chi
24,Lorenzo Musetti,22,"1,520",+40,29,10,25,ita
25,Jan-Lennard Struff,33,"1,484",-47,26,41,10,ger
26,Tallon Griekspoor,27,"1,450",+5,26,-,-,ned
27,Jiri Lehecka,22,"1,435",+175,27,45,20,cze
28,Alejandro Davidovich Fokina,24,"1,425",-170,25,45,10,esp
29,Sebastian Korda,23,"1,395",+50,23,-,-,usa
30,Tomas Martin Etcheverry,24,"1,325",-10,28,25,10,arg
31,Cameron Norrie,28,"1,250",-130,25,10,10,gbr
32,Christopher Eubanks,27,"1,233",-1,26,196,11,usa
