Rank,Player Name,Age,Official Points,+/-,Tournaments Played,Dropping,Next Best,Country
1,Novak Djokovic,36,9725,+50,18,,,Serbia
2,Carlos Alcaraz,20,8805,,18,360,,Spain
3,Jannik Sinner,22,8310,+40,20,600,,Italy
4,Daniil Medvedev,28,7765,+50,19,1000,,Russia
5,Alexander Zverev,26,5060,+110,26,,,Germany
6,Andrey Rublev,26,4970,-40,24,90,45,Russia
7,Holger Rune,20,3875,+155,23,90,10,Denmark
8,Casper Ruud,25,3560,+155,24,45,45,Norway
9,Hubert Hurkacz,27,3370,-35,24,45,10,Poland
10,Alex de Minaur,25,3300,+90,25,,,Australia
11,Stefanos Tsitsipas,25,3255,+85,25,90,15,Greece
12,Grigor Dimitrov,32,2935,+55,24,45,45,Bulgaria
13,Taylor Fritz,26,2935,-80,25,180,45,United States
14,Tommy Paul,26,2430,+310,27,90,45,United States
15,Ugo Humbert,25,2420,+5,29,,,France
16,Karen Khachanov,27,2265,-35,23,360,10,Russia
17,Ben Shelton,21,2220,+75,27,10,10,United States
18,Alexander Bublik,26,2002,+18,29,,,
19,Sebastian Baez,23,1990,+5,30,,,Argentina
20,Adrian Mannarino,35,1955,+5,29,90,11,France
21,Francisco Cerundolo,25,1845,+5,26,180,,Argentina
22,Frances Tiafoe,26,1805,-310,23,45,10,United States
23,Nicolas Jarry,28,1575,,25,,,Chile
24,Lorenzo Musetti,22,1520,+40,29,10,25,Italy
25,Jan-Lennard Struff,33,1484,-47,26,41,10,Germany
26,Tallon Griekspoor,27,1450,+5,26,,,Netherlands
27,Jiri Lehecka,22,1435,+175,27,45,20,Czech Republic
28,Alejandro Davidovich Fokina,24,1425,-170,25,45,10,Spain
29,Sebastian Korda,23,1395,+50,23,,,United States
30,Tomas Martin Etcheverry,24,1325,-10,28,25,10,Argentina
31,Cameron Norrie,28,1250,-130,25,10,10,
32,Christopher Eubanks,27,1233,-1,26,196,11,United States
33,Borna Coric,27,1214,+20,24,10,,Croatia
34,Jordan Thompson,29,1211,-35,29,,,Australia
35,Laslo Djere,28,1180,-10,24,25,10,Serbia
36,Felix Auger-Aliassime,23,1165,-130,22,45,,Canada
37,Arthur Fils,19,1128,+50,25,,,France
38,Matteo Arnaldi,23,1096,+5,24,,,Italy
39,Roman Safiullin,26,1085,+5,22,26,,Russia
40,Sebastian Ofner,27,1076,-40,33,50,25,
41,Aslan Karatsev,30,1073,,18,,,Russia
42,Jack Draper,22,1071,-80,20,,,
43,Daniel Evans,33,1066,,27,10,,
44,Alejandro Tabilo,26,1040,-76,24,19,,Chile
45,Alexei Popyrin,24,1032,-55,23,25,10,Australia
46,Miomir Kecmanovic,24,1030,,31,45,10,Serbia
47,Gael Monfils,37,1027,+90,22,10,,France
48,Emil Ruusuvuori,24,1006,-35,25,180,20,Finland
49,Zhizhen Zhang,27,1005,-1,26,,,China
50,Dominik Koepfer,29,1002,-6,24,130,16,Germany
51,Marcos Giron,30,1000,-15,28,,,United States
52,Dusan Lajovic,33,957,+30,24,45,,Serbia
53,Lorenzo Sonego,28,955,+20,27,90,10,Italy
54,Daniel Altmaier,25,951,-10,28,26,10,Germany
55,Facundo Diaz Acosta,23,943,-20,27,,,Argentina
56,Yannick Hanfmann,32,940,+20,29,,,Germany
57,Fabian Marozsan,24,929,+15,26,7,6,Hungary
58,Alexander Shevchenko,23,924,-76,33,,,
59,Mariano Navone,23,899,-7,23,16,,Argentina
60,Tomas Machac,23,891,+23,24,8,7,Czech Republic
61,Nuno Borges,27,887,,29,26,10,Portugal
62,Andy Murray,36,870,-15,27,10,10,
63,Flavio Cobolli,21,865,-15,33,30,25,Italy
64,Roberto Carballes Baena,30,851,+20,31,25,,Spain
65,Aleksandar Vukic,27,834,+33,30,26,7,Australia
66,Christopher O'Connell,29,833,+14,31,18,16,Australia
67,Pavel Kotov,25,823,+4,22,26,,Russia
68,Max Purcell,25,796,,32,90,20,Australia
69,Mackenzie McDonald,28,790,-25,26,45,10,United States
70,Jakub Mensik,18,781,+30,24,,,Czech Republic
71,Yoshihito Nishioka,28,778,-10,22,10,,Japan
72,Jaume Munar,26,776,,30,16,10,Spain
73,Alex Michelsen,19,776,+22,27,16,7,United States
74,Arthur Cazaux,21,774,+5,27,30,8,France
75,Luciano Darderi,22,771,-16,28,,,Italy
76,Thiago Seyboth Wild,24,768,-52,24,,,Brazil
77,Botic van de Zandschulp,28,750,,25,90,,Netherlands
78,Taro Daniel,31,742,-31,28,45,11,Japan
79,Pedro Cachin,28,739,-15,29,16,10,Argentina
80,Luca Van Assche,19,736,+40,26,125,10,France
81,Rinky Hijikata,23,724,-30,29,,,Australia
82,Arthur Rinderknech,28,723,+3,29,10,10,France
